date,hours worked,employee id,job group
14/10/2016,7.5,1,A
9/10/2016,4,2,B
10/10/2016,4,2,B
9/10/2016,11.5,3,A
8/10/2016,6,3,A
11/10/2016,3,3,A
2/10/2016,6,3,A
3/10/2016,12,2,B
4/10/2016,11,2,B
6/10/2016,5,4,B
21/10/2016,6,1,A
22/10/2016,5,1,A
23/10/2016,5,4,B
24/10/2016,5,4,B
25/10/2016,5,4,B
14/11/2016,7.5,1,A
9/11/2016,4,2,B
10/11/2016,4,2,B
9/11/2016,11.5,3,A
8/11/2016,6,3,A
12/10/2016,3,3,A
2/11/2016,6,3,A
3/11/2016,12,2,B
4/11/2016,11,2,B
6/11/2016,5,4,B
21/11/2016,6,1,A
22/11/2016,5,1,A
23/11/2016,5,4,B
24/11/2016,5,4,B
25/11/2016,5,4,B
23/1/2015,5,4,A
24/1/2016,5,4,B
report id,57,,
